What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Gender,Irish County,Device OS,Age
Yes,No,No,No,No,No,1 ,2-4 hours ,Love to see different brands on social media ,No,,,,,,,,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Every few weeks ,I only ever buy from brands I'm familiar with,,5,Trust Completely ,Yes ,Tagline,Male,Munster,I OS,36 53
Yes,Yes,Yes,No,No,No,1 ,1-2 hours ,"It works well for them, sales are up",Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 18 months ,Their own retail shop,5,Trust Somewhat ,Yes ,Tagline,Female,Dublin,Web,56 65
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,"It is accessible as most people are on technology and its a great way to communicate with people
",Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their website,10,Trust Somewhat ,Yes ,Tagline,Male,Ulster ROI Only,Web,23 35
Yes,No,No,No,No,No,1 ,2-4 hours ,Easy access,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last month ,Their website,1,Neither Trust or Distrust ,No ,Hashtag ,Male,Munster,Android,23 35
Yes,Yes,No,No,No,No,1 ,1-2 hours ,"It’s a great way to see reviews, how they deal with customer service and to learn more about products on offer",Yes,Yes,No,No,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their website,6,Trust Somewhat ,I don't know ,Tagline,Female,Leinster,Web,36 53
Yes,No,No,No,No,No,1 ,Less than 1 hour ,Don't know ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last 18 months ,Their website,1,Neither Trust or Distrust ,I don't know ,Neither,Male,Connacht,Web,36 53
No,No,No,No,No,Yes,I do not have social media ,Less than 1 hour ,I don’t mind ,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,9,Trust Somewhat ,Yes ,Neither,Male,Ulster ROI Only,I OS,36 53
No,No,No,No,No,Yes,1 ,2-4 hours ,they are ok,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the last month ,Their website,8,Trust Somewhat ,I don't know ,Hashtag ,Male,Leinster,Web,18 22
Yes,Yes,Yes,No,Yes,No,1 ,2-4 hours ,"It’s extremely important as it is an efficient way to connect and relate to the customer, keeping current ",Yes,Yes,Yes,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few weeks ,In the last 6 months ,Their Instagram page,10,Trust Somewhat ,No ,Hashtag ,Female,Dublin,Web,36 53
Yes,Yes,No,No,No,No,1 ,4-6 hours ,Good. I find a lot of products I'm interested in through social media adverts,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their website,7,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Web,23 35
Yes,Yes,Yes,No,No,No,1 ,Less than 1 hour ,"I don’t mind, a good way to get information about them ",No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,5,Neither Trust or Distrust ,Yes ,Tagline,Female,Ulster ROI Only,I OS,36 53
No,Yes,No,No,No,No,1 ,4-6 hours ,I feel very neutral about it. I understand that it’s essential for them for advertising and showcasing products but I follow very few brands and have little interaction with them,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,Female,Leinster,I OS,23 35
Yes,Yes,No,No,Yes,No,2,2-4 hours ,I want to find brands on social media ,Yes,Yes,No,No,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Every few months ,In the last month ,Their website,5,Distrust Somewhat ,Yes ,Tagline,Female,Dublin,I OS,23 35
Yes,Yes,Yes,No,No,No,1 ,2-4 hours ,It’s good way to go ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the past week ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,Female,Munster,Web,23 35
Yes,Yes,No,Yes,No,No,1 ,4-6 hours ,Good advertising,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Every few months ,In the last 6 months ,A department store,4,Trust Somewhat ,Yes ,Tagline,Female,Dublin,Web,23 35
Yes,No,No,No,No,No,1 ,1-2 hours ,Brilliant it’s great to see them and be up to date ,Yes,No,No,No,No,No,Yes,No,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Every few days ,In the last month ,Their website,7,Trust Somewhat ,Yes ,Neither,Male,Munster,I OS,56 65
No,Yes,No,No,No,No,1 ,Less than 1 hour ,Counterproductive for them as people get to vent,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 18 months ,Other,2,Distrust Somewhat ,Yes ,Tagline,Male,Connacht,I OS,36 53
Yes,Yes,Yes,No,Yes,No,2,2-4 hours ,"Brands should either be funny or authentic on social media. Be representative of the brand itself and, where genuine, CSR,",No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Every few months ,In the last 6 months ,Other,7,Distrust Somewhat ,Yes ,Tagline,Male,Dublin,I OS,18 22
Yes,No,Yes,Yes,No,No,1 ,2-4 hours ,A bit too much ,No,,,,,,,,Trust Completely ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few weeks ,In the last 6 months ,Their website,4,Trust Somewhat ,Yes ,Tagline,Male,Dublin,I OS,36 53
Yes,Yes,No,No,Yes,No,2,2-4 hours ,I think its good for advertising ,No,,,,,,,,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Never ,In the last 18 months ,A department store,5,Trust Somewhat ,Yes ,Tagline,Male,Dublin,Web,18 22
Yes,No,Yes,No,No,No,1 ,Less than 1 hour ,If they give offers or discounts all for it,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Never ,In the last 6 months ,A department store,2,Neither Trust or Distrust ,No ,Neither,Male,Dublin,Android,56 65
Yes,No,No,No,No,No,More than 2 ,4-6 hours ,Good to relex,Yes,Yes,Yes,No,No,No,No,No,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Daily ,In the past week ,Their Instagram page,5,Trust Somewhat ,Yes ,Hashtag ,Male,Dublin,I OS,36 53
Yes,Yes,No,Yes,Yes,No,1 ,1-2 hours ,I think it is fine and a good platform to advertise brand. Allows more relevant ads for the consumers ,Yes,Yes,No,No,No,No,No,No,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few months ,In the last month ,Their website,6,Trust Somewhat ,No ,Tagline,Male,Munster,Web,36 53
No,No,Yes,Yes,No,No,More than 2 ,1-2 hours ,Good to find new products and deals,Yes,No,Yes,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Every few days ,In the last month ,Another of their social media accounts,5,Trust Somewhat ,Yes ,Tagline,Female,Leinster,Android,23 35
No,No,Yes,No,No,No,1 ,Less than 1 hour ,twitter,No,,,,,,,,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Distrust Completely ,Never ,In the last 18 months ,A department store,6,Neither Trust or Distrust ,I don't know ,Neither,Male,Connacht,Web,36 53
No,Yes,No,No,No,No,1 ,Less than 1 hour ,It's a good way to advertise  new products ,No,,,,,,,,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,I only ever buy from brands I'm familiar with,,3,Neither Trust or Distrust ,Yes ,Tagline,Female,Munster,Web,56 65
No,Yes,Yes,No,No,No,1 ,2-4 hours ,Great it gives people who don’t have connections to get their brand out in the public eye,No,,,,,,,,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Never ,In the last 18 months ,Their Instagram page,5,Trust Somewhat ,No ,Tagline,Female,Dublin,Web,36 53
Yes,Yes,No,Yes,Yes,No,More than 2 ,2-4 hours ,Irritating. Boring promotions trying to look cool,No,,,,,,,,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Never ,In the last 18 months ,Their website,2,Distrust Somewhat ,Yes ,Tagline,Male,Dublin,Android,23 35
Yes,Yes,No,No,No,No,More than 2 ,2-4 hours ,"I don’t like to see the same ads over and over again on social media, but I do think they help to discover new or local brands that otherwise wouldn’t have known about.",Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,7,Trust Completely ,Yes ,Hashtag ,Female,Munster,I OS,23 35
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,"I'm happy to follow brands I'm interested in on social media, but i find unsolicited ads annoying. ",Yes,Yes,No,Yes,No,No,Yes,No,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Never ,In the last month ,Their website,1,Distrust Somewhat ,No ,Neither,Female,Connacht,Web,36 53
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Social media great way of advertising,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Every few months ,In the last 6 months ,Their Facebook page,9,Trust Somewhat ,Yes ,Hashtag ,Female,Munster,Android,56 65
No,Yes,No,No,No,No,I do not have social media ,1-2 hours ,Positive ,No,,,,,,,,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few months ,In the last month ,A department store,5,Trust Somewhat ,No ,Neither,Female,Munster,Web,56 65
Yes,Yes,Yes,Yes,No,No,2,4-6 hours ,"Fine, I like seeing new products and i don’t mind advertisements at all",Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Every few weeks ,In the last month ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,Female,Dublin,Web,18 22
No,Yes,No,No,No,No,1 ,1-2 hours ,From a customer perspective it's good to see people using the brands but it's hard to know if the people are doing it for money or if they actually like the brand. For the brand it's important to keep up with trends etc ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last 6 months ,Other,8,Distrust Somewhat ,No ,Neither,Female,Dublin,Android,23 35
Yes,Yes,No,No,No,No,1 ,1-2 hours ,I think this is a good way for brand to get involved with their customers and to interact ,Yes,Yes,No,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Trust Completely ,Trust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Never ,In the past week ,A department store,9,Trust Somewhat ,No ,Tagline,Female,Munster,Android,36 53
Yes,No,No,Yes,No,No,2,Less than 1 hour ,too much advertising,Yes,Yes,No,No,Yes,No,No,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Every few days ,In the past week ,Their own retail shop,3,Neither Trust or Distrust ,Yes ,Hashtag ,Female,Dublin,I OS,36 53
No,Yes,Yes,No,No,No,1 ,1-2 hours ,"I skip by ads to be honest. I actively don’t support brands that promote their brand via a lot of influencers e.g. spotlight. I do like to follow brands own pages, and would like to see them promote products in their own page without using ‘influencers’ ",Yes,No,Yes,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Never ,In the last 18 months ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,Female,Munster,I OS,36 53
No,Yes,No,No,No,No,1 ,2-4 hours ,Annoying !! No interest in them . Constantly trying to push a sale ! ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Completely ,Never ,In the last 18 months ,Their own retail shop,3,Neither Trust or Distrust ,Yes ,Tagline,Female,Dublin,I OS,36 53
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Do not like it,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Never ,In the last 18 months ,A department store,5,Trust Somewhat ,No ,Hashtag ,Female,Munster,I OS,23 35
Yes,Yes,Yes,Yes,No,No,2,1-2 hours ,I think it’s good for representing ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the past week ,Their Instagram page,10,Trust Completely ,Yes ,Tagline,Female,Connacht,Web,23 35
Yes,Yes,Yes,Yes,No,No,More than 2 ,Over 6 hours ,Don’t have an opinion,Yes,Yes,Yes,Yes,No,No,No,No,Trust Completely ,Distrust Completely ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Distrust Completely ,Every few weeks ,In the last 6 months ,Their Instagram page,8,Neither Trust or Distrust ,No ,Neither,Male,Ulster ROI Only,I OS,18 22
Yes,Yes,No,No,No,No,1 ,Less than 1 hour ,,Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Daily ,In the last month ,A department store,4,Trust Completely ,Yes ,Hashtag ,Female,Dublin,Web,23 35
